State,Latitude,Longitude,FullName,Population
AL,32.6010112,-86.6807365,Alabama,4903185.00
AK,61.3025006,-158.7750198,Alaska,731545.00
AS,-14.271,-170.1322,American Samoa,55312.00
AZ,34.1682185,-111.930907,Arizona,7278717.00
AR,34.7519275,-92.1313784,Arkansas,3017804.00
CA,37.2718745,-119.2704153,California,39512223.00
CO,38.9979339,-105.550567,Colorado,5758736.00
CT,41.5187835,-72.757507,Connecticut,3565287.00
DE,39.145251,-75.4189206,Delaware,973764.00
DC,38.8993487,-77.0145666,District of Columbia,705749.00
FL,27.9757279,-81.8330166,Florida,21477737.00
GA,32.6781248,-81.2229757,Georgia,10617423.00
GU,13.4443,144.7937,Guam,167294.00
HI,20.46,-157.505,Hawaii,1415872.00
ID,45.4945756,-114.1424303,Idaho,1787065.00
IL,39.739318,-89.504139,Illinois,12671821.00
IN,39.7662195,-86.441277,Indiana,6732219.00
IA,41.9383166,-93.389798,Iowa,3155070.00
KS,38.4987789,-98.3200779,Kansas,2913314.00
KY,37.8222935,-85.7682399,Kentucky,4467673.00
LA,30.9733766,-91.4299097,Louisiana,4648794.00
ME,45.2185133,-69.0148656,Maine,1344212.00
MD,38.8063524,-77.2684162,Maryland,6045680.00
MA,42.0629398,-71.718067,Massachusetts,6892503.00
MI,44.9435598,-86.4158049,Michigan,9986857.00
MN,46.4418595,-93.3655146,Minnesota,5639632.00
MS,32.5851062,-89.8772196,Mississippi,2976149.00
MO,38.3046615,-92.437099,Missouri,6137428.00
MT,46.6797995,-110.044783,Montana,1068778.00
NE,41.5008195,-99.680902,Nebraska,1934408.00
NV,38.502032,-117.0230604,Nevada,3080156.00
NH,44.0012306,-71.5799231,New Hampshire,1359711.00
NJ,40.1430058,-74.7311156,New Jersey,8882190.00
NM,34.1662325,-106.0260685,New Mexico,2096829.00
NY,40.7056258,-73.97968,New York,19453561.00
NC,35.2145629,-79.8912675,North Carolina,10488084.00
ND,47.4678819,-100.3022655,North Dakota,762062.00
MP,15.0979,145.6739,Northern Mariana Islands,51994.00
OH,40.1903624,-82.6692525,Ohio,11689100.00
OK,35.3097654,-98.7165585,Oklahoma,3956971.00
OR,44.1419049,-120.5380993,Oregon,4217737.00
PA,40.9945928,-77.6046984,Pennsylvania,12801989.00
PR,18.2208,-66.5901,Puerto Rico,3193694.00
RI,41.5827282,-71.5064508,Rhode Island,1059361.00
SC,33.62505,-80.9470381,South Carolina,5148714.00
SD,44.2126995,-100.2471641,South Dakota,884659.00
TN,35.830521,-85.9785989,Tennessee,6829174.00
TX,31.1693363,-100.0768425,Texas,28995881.00
UT,39.4997605,-111.547028,Utah,3205958.00
VT,43.8717545,-72.4477828,Vermont,623989.00
VI,18.3358,-64.8963,Virgin Islands,104578.00
VA,38.0033855,-79.4587861,Virginia,8535519.00
WA,47.609203,-120.645429,Washington,7614893.00
WV,38.9201705,-80.1816905,West Virginia,1792147.00
WI,44.7862968,-89.8267049,Wisconsin,5822434.00
WY,43.000325,-107.5545669,Wyoming,578759.00
